date,season,home_team,away_team,b365h,b365d,b365a,result,matchweek
2007-08-25,2008,West Ham,Wigan,0.4987241676280116,0.2787235092913132,0.2225523230806752,D,3
2007-08-26,2008,Man United,Tottenham,0.641090049556827,0.21870207884458345,0.1402078715985896,H,3
2007-08-26,2008,Middlesbrough,Newcastle,0.35818822812063694,0.28656066824972665,0.35525110362963624,D,3
2007-09-01,2008,Bolton,Everton,0.39068470550597,0.28687927915196915,0.3224360153420609,A,4
2007-09-01,2008,Fulham,Tottenham,0.2960210492760621,0.28607979191097505,0.4178991588129627,D,4
2007-09-01,2008,Liverpool,Derby,0.8418876382285724,0.12521513326580813,0.0328972285056195,H,4
2007-09-01,2008,Man United,Sunderland,0.8418876382285724,0.12521513326580813,0.0328972285056195,H,4
2007-09-01,2008,Middlesbrough,Birmingham,0.47381334928749125,0.28552249817112707,0.24066415254138174,H,4
2007-09-01,2008,Newcastle,Wigan,0.5563698665362016,0.2581028918298509,0.18552724163394757,H,4
2007-09-01,2008,Reading,West Ham,0.4296240484091512,0.2875568327917208,0.2828191187991282,A,4
2007-09-02,2008,Arsenal,Portsmouth,0.6429569942103698,0.23697501147250227,0.1200679943171279,H,4
2007-09-02,2008,Aston Villa,Chelsea,0.1564031205287841,0.2480632953803985,0.5955335840908174,H,4
2007-09-02,2008,Blackburn,Man City,0.4296240484091512,0.2875568327917208,0.2828191187991282,H,4
2007-09-15,2008,Birmingham,Bolton,0.4008517915897098,0.2868799341510965,0.31226827425919357,H,6
2007-09-15,2008,Chelsea,Blackburn,0.7155629533400681,0.20286536003678154,0.08157168662315031,D,6
2007-09-15,2008,Everton,Man United,0.20164135942327338,0.2634987270519117,0.534859913524815,A,6
2007-09-15,2008,Portsmouth,Liverpool,0.1786423752772718,0.26167102658799213,0.5596865981347362,D,6
2007-09-15,2008,Sunderland,Reading,0.42284726354095536,0.2862019318607077,0.29095080459833683,H,6
2007-09-15,2008,Tottenham,Arsenal,0.3338088366748006,0.28953445378502995,0.37665670954016944,A,6
2007-09-15,2008,West Ham,Middlesbrough,0.479883170388776,0.2735419635706986,0.2465748660405254,H,6
2007-09-15,2008,Wigan,Fulham,0.45567000890663334,0.28689545407253647,0.25743453702083025,D,6
2007-09-16,2008,Man City,Aston Villa,0.4008517915897098,0.2868799341510965,0.31226827425919357,H,6
2007-09-17,2008,Derby,Newcastle,0.21003526846558404,0.2850794503890333,0.5048852811453827,H,6
2007-09-22,2008,Arsenal,Derby,0.8617744147847797,0.10978202413793335,0.02844356107728709,H,7
2007-09-22,2008,Fulham,Man City,0.3782544874361423,0.2863451072071551,0.3354004053567025,D,7
2007-09-22,2008,Liverpool,Birmingham,0.8008418451096894,0.15691680978890585,0.04224134510140476,D,7
2007-09-22,2008,Middlesbrough,Sunderland,0.4540730578138713,0.2900468597717283,0.25588008241440036,D,7
2007-09-22,2008,Reading,Wigan,0.4540730578138713,0.2900468597717283,0.25588008241440036,H,7
2007-09-23,2008,Aston Villa,Everton,0.4228472635409554,0.29095080459833683,0.2862019318607078,H,7
2007-09-23,2008,Blackburn,Portsmouth,0.5041055694378992,0.27967800089597794,0.21621642966612267,A,7
2007-09-23,2008,Bolton,Tottenham,0.3354004053567025,0.2863451072071551,0.3782544874361423,D,7
2007-09-23,2008,Man United,Chelsea,0.4648561194843767,0.29614303469820136,0.23900084581742198,H,7
